@relation energy_consumption-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute DateTime string
@attribute Consumption numeric
@attribute Production numeric
@attribute Nuclear numeric
@attribute Wind numeric
@attribute Hydroelectric numeric
@attribute Oil_and_Gas numeric
@attribute Coal numeric
@attribute Solar numeric
@attribute Biomass numeric

@data
05/01/2019?17:00,0.789207,0.626236,0.930726,0.298555,0.301949,0.919197,0.640833,0,43
05/01/2019?18:00,0.80964,0.650738,0.930726,0.494536,0.268608,0.857952,0.581488,0,43
05/01/2019?19:00,0.802131,0.645564,0.928492,0.569968,0.319324,0.702007,0.511515,0,41
05/01/2019?20:00,0.757422,0.641911,0.928492,0.596405,0.294435,0.702007,0.514615,0,40
05/01/2019?21:00,0.699267,0.606148,0.931844,0.58442,0.251467,0.700978,0.511957,0,42
05/01/2019?22:00,0.602864,0.591386,0.929609,0.590765,0.213196,0.723623,0.5093,0,41
05/01/2019?23:00,0.540342,0.600365,0.936313,0.646105,0.195586,0.735975,0.485828,0,40
06/01/2019?0:00,0.484806,0.586517,0.935196,0.666197,0.185255,0.675759,0.491585,0,40
06/01/2019?1:00,0.445686,0.533709,0.930726,0.59147,0.19629,0.565106,0.5093,0,39
06/01/2019?2:00,0.420538,0.530056,0.931844,0.532605,0.212961,0.584148,0.524358,0,40
06/01/2019?3:00,0.398009,0.510729,0.931844,0.512161,0.184785,0.600103,0.533658,0,39
06/01/2019?4:00,0.414076,0.489423,0.932961,0.487839,0.172576,0.567164,0.553144,0,37
06/01/2019?5:00,0.411282,0.464465,0.931844,0.35178,0.222353,0.631498,0.501771,0,40
06/01/2019?6:00,0.428222,0.437681,0.934078,0.230173,0.24231,0.667524,0.507086,0,40
06/01/2019?7:00,0.482012,0.429006,0.93743,0.186817,0.217187,0.6737,0.576174,0,42
06/01/2019?8:00,0.510479,0.454269,0.934078,0.146634,0.228692,0.783839,0.584145,0.00088,41
06/01/2019?9:00,0.558505,0.493989,0.928492,0.124427,0.237145,0.868245,0.631089,0.021108,42
06/01/2019?10:00,0.571429,0.514229,0.932961,0.110328,0.255224,0.872877,0.644818,0.062445,46
06/01/2019?11:00,0.556235,0.535383,0.934078,0.144871,0.239258,0.896552,0.653676,0.100264,47
06/01/2019?12:00,0.56584,0.562167,0.929609,0.202326,0.231275,0.911477,0.653233,0.116095,50
06/01/2019?13:00,0.580161,0.595039,0.932961,0.280578,0.230805,0.911992,0.657219,0.099384,52
06/01/2019?14:00,0.542787,0.597778,0.927374,0.40007,0.189951,0.889346,0.630204,0.065963,53
06/01/2019?15:00,0.559902,0.628063,0.931844,0.589355,0.189012,0.786413,0.58636,0.029903,53
06/01/2019?16:00,0.596926,0.632476,0.936313,0.746916,0.194412,0.677303,0.498671,0.002639,52
06/01/2019?17:00,0.691932,0.647086,0.931844,0.843849,0.154496,0.676788,0.498229,0,53
06/01/2019?18:00,0.716556,0.663826,0.929609,0.827282,0.191829,0.68245,0.493357,0,51
06/01/2019?19:00,0.710094,0.681175,0.929609,0.832922,0.210378,0.687082,0.499557,0,49
06/01/2019?20:00,0.684771,0.674022,0.929609,0.806838,0.211082,0.687597,0.5093,0,50
06/01/2019?21:00,0.646874,0.695937,0.929609,0.799084,0.241606,0.693258,0.519486,0,51
06/01/2019?22:00,0.578589,0.673413,0.929609,0.787452,0.226344,0.686052,0.5031,0,52
06/01/2019?23:00,0.508383,0.654238,0.930726,0.787099,0.190185,0.694287,0.5093,0,51
07/01/2019?0:00,0.458086,0.649673,0.931844,0.77018,0.187603,0.696861,0.519929,0,50
07/01/2019?1:00,0.415823,0.563689,0.927374,0.792386,0.103311,0.591868,0.492471,0,50
07/01/2019?2:00,0.398708,0.559123,0.928492,0.781107,0.114581,0.562017,0.497786,0,50
07/01/2019?3:00,0.408488,0.572668,0.927374,0.781459,0.130312,0.563047,0.507086,0,48
07/01/2019?4:00,0.417569,0.583168,0.930726,0.790976,0.134069,0.564076,0.516386,0,49
07/01/2019?5:00,0.471359,0.592452,0.931844,0.780049,0.151209,0.56562,0.523029,0,47
07/01/2019?6:00,0.552742,0.570994,0.929609,0.791681,0.131486,0.572311,0.477857,0,48
07/01/2019?7:00,0.669577,0.632476,0.931844,0.800493,0.181968,0.648482,0.481842,0,54
07/01/2019?8:00,0.789556,0.689088,0.929609,0.787099,0.221413,0.696861,0.545616,0.001759,57
07/01/2019?9:00,0.84387,0.723634,0.87486,0.813888,0.259451,0.698919,0.544287,0.03518,57
07/01/2019?10:00,0.847712,0.751484,0.856983,0.840677,0.250059,0.741637,0.552702,0.08971,55
07/01/2019?11:00,0.830772,0.745701,0.870391,0.8724,0.220005,0.745754,0.510629,0.156552,55
07/01/2019?12:00,0.819769,0.742809,0.87486,0.843849,0.228457,0.746783,0.504429,0.187335,53
07/01/2019?13:00,0.837758,0.751636,0.889385,0.832922,0.235266,0.761709,0.510629,0.189094,55
07/01/2019?14:00,0.78519,0.730026,0.894972,0.821643,0.228223,0.748327,0.4938,0.170624,56
07/01/2019?15:00,0.789556,0.726069,0.909497,0.843497,0.225875,0.748327,0.486271,0.104661,57
07/01/2019?16:00,0.784666,0.698828,0.856983,0.824815,0.223292,0.750901,0.493357,0.026385,57
07/01/2019?17:00,0.876877,0.750266,0.898324,0.823053,0.270721,0.798765,0.512843,0,54
07/01/2019?18:00,0.891198,0.749658,0.917318,0.854776,0.268138,0.785383,0.479185,0,56
07/01/2019?19:00,0.888229,0.742657,0.918436,0.862883,0.291618,0.67473,0.500886,0,54
07/01/2019?20:00,0.856794,0.726982,0.921788,0.897074,0.258746,0.659804,0.485385,0,54
07/01/2019?21:00,0.805449,0.722417,0.92067,0.868876,0.258746,0.667524,0.501329,0,54
07/01/2019?22:00,0.693329,0.651803,0.918436,0.837152,0.175393,0.667524,0.492471,0,55
07/01/2019?23:00,0.607754,0.61117,0.92067,0.784632,0.130547,0.676274,0.517715,0,54
08/01/2019?0:00,0.561823,0.614366,0.918436,0.709905,0.188072,0.68245,0.508415,0,53
08/01/2019?1:00,0.534754,0.651042,0.921788,0.709552,0.171871,0.781266,0.558459,0,55
08/01/2019?2:00,0.524101,0.671283,0.927374,0.660557,0.158723,0.858466,0.633747,0,57
08/01/2019?3:00,0.515194,0.652412,0.928492,0.563624,0.170697,0.85332,0.682462,0,57
08/01/2019?4:00,0.524101,0.642825,0.929609,0.465985,0.189481,0.872877,0.724535,0,57
08/01/2019?5:00,0.557981,0.61954,0.927374,0.421572,0.195116,0.899125,0.680691,0,58
08/01/2019?6:00,0.646001,0.608279,0.928492,0.363412,0.223292,0.897066,0.668733,0,58
08/01/2019?7:00,0.793573,0.680566,0.92514,0.426154,0.268842,0.870818,0.73605,0,61
08/01/2019?8:00,0.922284,0.656521,0.930726,0.47233,0.260859,0.772517,0.69442,0.020229,63
08/01/2019?9:00,0.973804,0.721199,0.927374,0.344025,0.337638,0.88317,0.761293,0.109938,62
08/01/2019?10:00,0.966294,0.725156,0.929609,0.253789,0.346325,0.916624,0.793623,0.200528,62
08/01/2019?11:00,0.954418,0.728504,0.928492,0.204441,0.357361,0.9228,0.803809,0.274406,61
08/01/2019?12:00,0.915473,0.711764,0.917318,0.142756,0.35877,0.926917,0.80248,0.328056,61
08/01/2019?13:00,0.910234,0.704611,0.918436,0.1135,0.362057,0.928976,0.81178,0.326297,60
08/01/2019?14:00,0.870416,0.687567,0.917318,0.128657,0.338812,0.933608,0.811337,0.270009,62
08/01/2019?15:00,0.862207,0.669152,0.921788,0.151921,0.34703,0.937725,0.765722,0.152155,65
08/01/2019?16:00,0.880894,0.674022,0.92067,0.188932,0.373327,0.937725,0.743578,0.036939,62
08/01/2019?17:00,0.961404,0.717395,0.927374,0.238632,0.414182,0.936696,0.746678,0,63
08/01/2019?18:00,0.968914,0.740679,0.92514,0.328164,0.395398,0.935152,0.740478,0,62
08/01/2019?19:00,0.948131,0.746766,0.927374,0.350723,0.386241,0.931034,0.750664,0,60
08/01/2019?20:00,0.914076,0.769289,0.92514,0.338738,0.419582,0.93052,0.769708,0,59
08/01/2019?21:00,0.836186,0.736113,0.928492,0.315827,0.386241,0.946989,0.748893,0,60
08/01/2019?22:00,0.7073,0.704763,0.927374,0.362355,0.311106,0.951621,0.736935,0,63
08/01/2019?23:00,0.629584,0.673413,0.930726,0.46387,0.195116,0.951107,0.735607,0,63
09/01/2019?0:00,0.567063,0.665196,0.930726,0.515333,0.172341,0.90633,0.728078,0,62
09/01/2019?1:00,0.543137,0.648608,0.928492,0.481847,0.172341,0.902728,0.726749,0,62
09/01/2019?2:00,0.523053,0.617105,0.929609,0.429679,0.185959,0.903242,0.674491,0,61
09/01/2019?3:00,0.525498,0.59793,0.929609,0.438844,0.188777,0.896037,0.607617,0,63
09/01/2019?4:00,0.517988,0.57419,0.927374,0.368347,0.183611,0.897581,0.636404,0,62
09/01/2019?5:00,0.554488,0.597322,0.926257,0.334861,0.187133,0.902213,0.736492,0,61
09/01/2019?6:00,0.638666,0.61954,0.930726,0.323581,0.205917,0.928461,0.75465,0,60
09/01/2019?7:00,0.806147,0.704611,0.928492,0.317941,0.319793,0.950592,0.775465,0,63
09/01/2019?8:00,0.884038,0.716329,0.927374,0.318646,0.324489,0.949563,0.795394,0.011434,64
09/01/2019?9:00,0.931016,0.711916,0.89162,0.317237,0.314863,0.947504,0.789637,0.065963,65
09/01/2019?10:00,0.928921,0.709329,0.798883,0.264364,0.332942,0.949563,0.800709,0.165347,63
09/01/2019?11:00,0.921062,0.709938,0.81676,0.180825,0.367222,0.927946,0.823295,0.225154,64
09/01/2019?12:00,0.909885,0.684979,0.875978,0.10927,0.368396,0.925373,0.808237,0.242744,64
09/01/2019?13:00,0.891722,0.689241,0.886034,0.113148,0.360178,0.944416,0.820638,0.222515,65
09/01/2019?14:00,0.88037,0.696089,0.889385,0.118787,0.39305,0.936181,0.822409,0.139842,58
09/01/2019?15:00,0.849109,0.658804,0.907263,0.18294,0.333881,0.92177,0.787422,0.063325,60
09/01/2019?16:00,0.87059,0.692741,0.916201,0.206909,0.364405,0.927946,0.816209,0.008795,63
09/01/2019?17:00,0.944638,0.741287,0.917318,0.172013,0.444001,0.939784,0.844996,0,63
09/01/2019?18:00,0.959658,0.763658,0.919553,0.148749,0.501996,0.92949,0.838353,0,63
09/01/2019?19:00,0.93905,0.775072,0.92067,0.184702,0.477577,0.932064,0.870239,0,61
09/01/2019?20:00,0.88788,0.780703,0.921788,0.237927,0.458793,0.928976,0.858282,0,60
09/01/2019?21:00,0.804925,0.77629,0.916201,0.310539,0.395633,0.949563,0.857396,0,60
09/01/2019?22:00,0.708348,0.782225,0.913966,0.410645,0.344682,0.930005,0.86271,0,61
09/01/2019?23:00,0.642159,0.767007,0.915084,0.476912,0.270251,0.93052,0.875111,0,59
10/01/2019?0:00,0.583304,0.730787,0.924022,0.531547,0.199108,0.892434,0.864482,0,58
10/01/2019?1:00,0.541565,0.71496,0.929609,0.615439,0.212726,0.685023,0.864482,0,57
10/01/2019?2:00,0.533007,0.714655,0.929609,0.645753,0.187368,0.685538,0.872896,0,57
10/01/2019?3:00,0.523402,0.714503,0.930726,0.699683,0.160836,0.680906,0.858725,0,57
10/01/2019?4:00,0.528641,0.717395,0.932961,0.75467,0.166471,0.669583,0.795394,0,57
10/01/2019?5:00,0.569158,0.752549,0.931844,0.71202,0.218126,0.661863,0.861382,0,58
10/01/2019?6:00,0.657003,0.785116,0.931844,0.629186,0.279174,0.716933,0.897254,0,59
10/01/2019?7:00,0.785365,0.776138,0.930726,0.558689,0.314158,0.727226,0.883082,0,63
10/01/2019?8:00,0.874607,0.808401,0.930726,0.396898,0.400564,0.880597,0.883968,0,65
10/01/2019?9:00,0.941146,0.802161,0.878212,0.319704,0.445175,0.924344,0.860053,0.011434,58
10/01/2019?10:00,0.95861,0.802313,0.877095,0.253789,0.471237,0.943387,0.868025,0.024626,65
10/01/2019?11:00,0.92665,0.757571,0.878212,0.183645,0.436487,0.943901,0.880425,0.043975,65
10/01/2019?12:00,0.935382,0.740679,0.869274,0.107508,0.46795,0.93721,0.871568,0.058047,62
10/01/2019?13:00,0.904995,0.723025,0.877095,0.129714,0.438131,0.935666,0.832152,0.084433,64
10/01/2019?14:00,0.879322,0.691219,0.900559,0.133592,0.385067,0.933608,0.840567,0.061566,65
10/01/2019?15:00,0.867447,0.689849,0.909497,0.136764,0.372623,0.93721,0.862267,0.031662,64
10/01/2019?16:00,0.891198,0.697459,0.892737,0.160028,0.377084,0.941328,0.865368,0.002639,64
10/01/2019?17:00,0.957737,0.737179,0.890503,0.18294,0.435313,0.939269,0.846324,0,64
10/01/2019?18:00,0.969438,0.738853,0.916201,0.147691,0.4332,0.93824,0.889725,0,65
10/01/2019?19:00,0.954418,0.714199,0.917318,0.150864,0.405259,0.939269,0.864925,0,67
10/01/2019?20:00,0.913727,0.698219,0.915084,0.160028,0.373092,0.939269,0.868468,0,67
10/01/2019?21:00,0.853126,0.691067,0.913966,0.148396,0.362761,0.937725,0.883968,0,66
10/01/2019?22:00,0.732798,0.666565,0.916201,0.12619,0.343743,0.933608,0.879097,0,64
10/01/2019?23:00,0.614041,0.608431,0.918436,0.166725,0.233623,0.933608,0.867139,0,63
11/01/2019?0:00,0.593957,0.650129,0.917318,0.166725,0.284574,0.932064,0.895483,0,60
11/01/2019?1:00,0.549249,0.55608,0.922905,0.162848,0.264381,0.703551,0.858725,0,61
11/01/2019?2:00,0.548201,0.553797,0.926257,0.149806,0.245832,0.712301,0.894597,0,60
11/01/2019?3:00,0.524275,0.55121,0.926257,0.135354,0.252407,0.706639,0.89814,0,60
11/01/2019?4:00,0.547328,0.58119,0.922905,0.145929,0.286922,0.704066,0.91054,0,61
11/01/2019?5:00,0.566539,0.630954,0.92514,0.258019,0.29467,0.704066,0.899026,0,60
11/01/2019?6:00,0.632553,0.626541,0.92514,0.346845,0.23151,0.709727,0.887511,0,63
11/01/2019?7:00,0.775585,0.718612,0.924022,0.500529,0.258277,0.739578,0.886182,0,64
11/01/2019?8:00,0.883514,0.788769,0.92067,0.618611,0.255694,0.807514,0.889725,0,63
11/01/2019?9:00,0.945861,0.844316,0.90838,0.641523,0.286217,0.890376,0.895926,0.002639,65
11/01/2019?10:00,0.95145,0.864861,0.907263,0.658442,0.300305,0.889861,0.906554,0.007916,65
11/01/2019?11:00,0.94167,0.866839,0.910615,0.691576,0.281756,0.885744,0.89814,0.026385,65
11/01/2019?12:00,0.920887,0.842794,0.872626,0.624956,0.286922,0.887288,0.905226,0.048373,64
11/01/2019?13:00,0.906916,0.805813,0.887151,0.494536,0.287157,0.920226,0.920283,0.060686,65
11/01/2019?14:00,0.876004,0.793791,0.907263,0.4043,0.323785,0.932064,0.912755,0.057168,65
11/01/2019?15:00,0.835313,0.758332,0.916201,0.342968,0.319793,0.935666,0.900354,0.03606,62
11/01/2019?16:00,0.852777,0.734591,0.916201,0.274938,0.341395,0.937725,0.890168,0.005277,62
11/01/2019?17:00,0.94394,0.734896,0.912849,0.2411,0.351021,0.939784,0.916298,0,63
11/01/2019?18:00,0.942717,0.731548,0.916201,0.291505,0.317445,0.941843,0.903454,0,64
11/01/2019?19:00,0.914076,0.683305,0.917318,0.262249,0.27166,0.940813,0.886182,0,64
11/01/2019?20:00,0.881243,0.654847,0.916201,0.18435,0.281756,0.906845,0.914083,0,61
11/01/2019?21:00,0.816277,0.643738,0.919553,0.132182,0.298896,0.900154,0.918955,0,62
11/01/2019?22:00,0.688963,0.586517,0.917318,0.086006,0.26626,0.900154,0.873339,0,61
11/01/2019?23:00,0.621551,0.562015,0.915084,0.05957,0.237614,0.900154,0.890168,0,60
